fiscal_year,eps
065-066,1.11
066-067,20.67
067-068,13.48
068-069,16.63
069-070,17.92
070-071,25.26
071-072,28.77
072-073,31.05
073-074,31.78
074-075,20.23
075-076,25.79
076-077,15.39
077-078,14.77
078-079,17.16
079-080,17.69
080-081,14.48
081-082,13.24
082-083,20.93
