fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2072/2073,9.25,0.49,9.74,2016-08-14 [Closed]
2071/2072,17.00,,17.00,2015-12-16 [Closed]
2069/2070,18.94,,18.94,2013-12-13 [Closed]
2068/2069,0.00,12.00,12.00,2012-11-20 [Closed]
2067/2068,0.00,11.47,11.47,2011-12-06 [Closed]
