fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2071/2072,15.00,0.79,15.79,2015-12-01 [Closed]
2070/2071,0.00,18.00,18.00,2014-10-08 [Closed]
2069/2070,0.00,13.00,13.00,2013-09-19 [Closed]
2067/2068,0.00,10.9,10.9,2011-12-22 [Closed]
