fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2071/2072,19.25,1.01,20.26,2015-07-15 [Closed]
2070/2071,22.00,1.15,23.15,2014-12-18 [Closed]
2069/2070,21.38,1.12,22.5,2013-10-04 [Closed]
2068/2069,15.00,14.00,29.00,2012-10-19 [Closed]
2067/2068,10.00,6.5,16.5,2012-01-02 [Closed]
