fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2070/2071,5.95,0.313,6.263,2014-11-05 [Closed]
2069/2070,7.6,0.4,8.00,2013-12-19 [Closed]
2068/2069,0.00,10.53,10.53,2012-12-31 [Closed]
2067/2068,5.00,10.00,15.00,2011-12-12 [Closed]
