fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2072/2073,21.58,,21.58,2016-09-27 [Closed]
2071/2072,22.6,1.19,23.79,2015-10-02 [Closed]
2070/2071,21.00,1.105,22.105,2014-07-14 [Closed]
2069/2070,15.00,6.00,21.00,2013-12-04 [Closed]
2068/2069,0.00,15.00,15.00,2012-11-30 [Closed]
2067/2068,0.00,15.00,15.00,2011-12-20 [Closed]
