fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2077/2078,6.65,0.35,7.00,2021-12-19 [Closed]
2076/2077,5.8,2.48,8.28,2020-12-22 [Closed]
2075/2076,10.00,5.8,15.8,2019-10-18 [Closed]
2074/2075,0.00,11.5,11.5,2018-12-27 [Closed]
2073/2074,15.00,,15.00,2017-10-30 [Closed]
2072/2073,33.33,,33.33,2016-10-03 [Closed]
2071/2072,21.5,1.13,22.63,2015-10-28 [Closed]
2069/2070,11.00,,11.00,2014-04-10 [Closed]
2068/2069,0.00,5.26,5.26,2012-12-24 [Closed]
2067/2068,0.00,4.00,4.00,2011-12-20 [Closed]
