fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2074/2075,3.00,6.5,9.5,2018-11-14 [Closed]
2073/2074,6.15,0.322,6.472,2018-01-16 [Closed]
2072/2073,20.00,,20.00,2016-11-25 [Closed]
2071/2072,25.00,1.315,26.315,2015-12-03 [Closed]
2070/2071,0.00,10.52,10.52,2014-12-09 [Closed]
2069/2070,0.00,8.00,8.00,2013-12-04 [Closed]
2068/2069,9.64,0.5,10.14,2013-03-26 [Closed]
