fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2075/2076,0.00,17.32,17.32,2019-09-26 [Closed]
2074/2075,0.00,14.2,14.2,2018-12-26 [Closed]
2073/2074,19.3106,,19.3106,2018-05-22 [Closed]
2072/2073,19.75,1.03,20.78,2016-12-12 [Closed]
2071/2072,23.00,1.21,24.21,2015-11-04 [Closed]
2070/2071,10.00,10.00,20.00,2014-10-06 [Closed]
2069/2070,0.00,14.00,14.00,
2068/2069,14.5,,14.5,2012-12-19 [Closed]
2067/2068,10.00,10.00,20.00,2012-01-01 [Closed]
