fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2072/2073,19.00,,19.00,2016-11-03 [Closed]
2071/2072,10.00,0.53,10.53,2015-12-28 [Closed]
2070/2071,10.00,10.75,20.75,
2069/2070,19.00,,19.00,2013-11-14 [Closed]
2068/2069,10.00,13.00,23.00,2012-10-09 [Closed]
2067/2068,17.00,,17.00,2011-12-11 [Closed]
