fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2069/2070,10.00,,10.00,2013-12-31 [Closed]
2068/2069,9.5,0.5,10.00,2012-12-27 [Closed]
2067/2068,11.00,0.58,11.58,2011-12-31 [Closed]
