fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2078/2079,4.00,7.00,11.00,2022-12-07 [Closed]
2077/2078,12.611,3.389,16.00,2021-11-22 [Closed]
2076/2077,13.00,5.5,18.5,2021-01-06 [Closed]
2075/2076,10.5,8.5,19.00,2019-12-30 [Closed]
2074/2075,18.00,22.00,40.00,2018-12-26 [Closed]
2073/2074,15.00,25.00,40.00,2017-10-04 [Closed]
2072/2073,20.00,21.00,41.00,2016-09-06 [Closed]
2071/2072,33.00,1.74,34.74,2015-10-30 [Closed]
2070/2071,15.00,25.00,40.00,2014-10-09 [Closed]
2069/2070,10.00,25.00,35.00,2013-12-11 [Closed]
2068/2069,25.00,5.00,30.00,2012-12-20 [Closed]
2067/2068,25.00,25.00,50.00,2011-10-30 [Closed]
