fiscal_year,eps
067-068,20.64
068-069,25.15
069-070,27.77
070-071,27.87
071-072,20.33
072-073,25.85
073-074,15.83
074-075,17.43
075-076,21.32
076-077,17.82
077-078,22.75
078-079,22.49
079-080,24.38
080-081,7.64
081-082,21.96
082-083,23.21
