fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2082/2083,,12.00,12.00,2026-09-10
2081/2082,,10.00,10.00,2025-08-31 [Closed]
2080/2081,,8.5,8.5,2024-09-30 [Closed]
