fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2078/2079,19.00,1.00,20.00,2023-03-29 [Closed]
2077/2078,19.00,1.00,20.00,2022-04-06 [Closed]
2076/2077,8.12,0.4274,8.5474,2021-04-01 [Closed]
