fiscal_year,eps
064-065,4.00
065-066,20.30
066-067,29.95
067-068,16.04
068-069,12.00
069-070,18.55
070-071,20.97
071-072,23.74
072-073,30.11
073-074,23.21
074-075,21.49
075-076,23.60
076-077,16.10
077-078,20.32
078-079,14.94
079-080,5.30
080-081,18.08
081-082,16.50
082-083,19.66
