fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2072/2073,28.14,,28.14,2017-03-03 [Closed]
2071/2072,10.00,,10.00,2016-06-21 [Closed]
2070/2071,5.00,,5.00,2015-02-20 [Closed]
