fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2072/2073,3.6,0.18,3.78,2017-04-03 [Closed]
2071/2072,14.00,,14.00,2016-03-18 [Closed]
2070/2071,10.00,5.00,15.00,2014-12-14 [Closed]
2069/2070,15.00,10.00,25.00,2013-12-31 [Closed]
2068/2069,10.00,10.00,20.00,2013-03-31 [Closed]
