fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2078/2079,18.00,0.95,18.95,2023-02-26 [Closed]
2077/2078,31.05,1.63,32.68,2021-12-03 [Closed]
2076/2077,10.5,0.55,11.05,2021-03-12 [Closed]
2075/2076,13.00,0.68,13.68,2019-11-21 [Closed]
