fiscal_year,eps
060-061,143.55
061-062,143.93
062-063,175.84
063-064,167.37
064-065,131.92
065-066,109.99
066-067,77.65
067-068,69.51
068-069,72.60
069-070,65.70
070-071,65.47
071-072,57.38
072-073,45.96
073-074,35.49
074-075,27.33
075-076,30.39
076-077,24.81
077-078,16.32
078-079,23.92
079-080,36.75
080-081,34.73
081-082,30.00
082-083,27.64
