fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2078/2079,6.00,14.95,20.95,2022-11-25 [Closed]
2077/2078,10.00,4.00,14.00,2021-11-26 [Closed]
2076/2077,13.00,3.00,16.00,2020-11-13 [Closed]
2075/2076,6.00,11.00,17.00,2019-10-03 [Closed]
2074/2075,14.00,11.00,25.00,2019-01-14 [Closed]
2073/2074,13.25,,13.25,2018-06-22 [Closed]
2072/2073,23.00,,23.00,2017-02-26 [Closed]
