date,open,high,low,ltp,percent_change,qty,turnover
2019-02-26,113.0,113.0,113.0,113.0,-5.83,1503,169839.0
2018-12-25,120.0,120.0,120.0,120.0,0.0,43432,5211840.0
2018-05-23,120.0,120.0,120.0,120.0,0.0,8304,996480.0
2016-07-10,190.0,187.0,172.0,172.0,0.0,56700,9977400.0
2016-07-06,211.0,207.0,190.0,190.0,0.0,42000,8319000.0
