fiscal_year,eps
070-071,56.67
071-072,30.42
072-073,41.83
073-074,20.43
074-075,22.34
075-076,24.31
076-077,15.39
077-078,23.93
078-079,1.90
079-080,24.50
080-081,25.94
081-082,25.41
082-083,5.56
