fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2076/2077,12.7,0.6684,13.3684,2021-12-24 [Closed]
2075/2076,5.00,5.526,10.526,2021-01-01 [Closed]
2074/2075,12.00,0.00,12.00,2019-06-11 [Closed]
2073/2074,12.00,0.63,12.63,2018-07-01 [Closed]
2072/2073,10.00,,10.00,2017-08-25 [Closed]
2071/2072,5.00,,5.00,2017-04-10 [Closed]
2068/2069,14.25,,14.25,2013-03-24 [Closed]
