fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2079/2080,,6.8,6.8,2023-09-19 [Closed]
2078/2079,0.00,4.2,4.2,2022-09-14 [Closed]
2077/2078,0.00,50.00,50.00,2021-08-13 [Closed]
