fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2072/2073,14.5,,14.5,2015-12-28 [Closed]
2071/2072,14.00,,14.00,2015-10-01 [Closed]
2070/2071,0.00,10.00,10.00,2014-10-06 [Closed]
2069/2070,15.00,,15.00,2013-09-23 [Closed]
2068/2069,0.00,5.5,5.5,2012-12-10 [Closed]
2067/2068,0.00,20.00,20.00,2012-01-02 [Closed]
