symbol,listing_date,first_trade_date,delta_days,status
NICA,2007-07-25,2013-07-14,2181,SUSPICIOUS_LARGE_GAP
NICAD2091,2025-08-13,2025-10-07,55,OK
NICAP,2008-09-15,2013-08-07,1787,SUSPICIOUS_LARGE_GAP
NICBF,2019-10-18,2019-11-11,24,OK
NICFC,2022-07-25,2022-09-12,49,OK
NICGF,2018-04-24,2018-04-24,0,OK
NICGF2,2024-02-05,2024-02-11,6,OK
NICL,1984-11-08,2011-04-27,9666,SUSPICIOUS_LARGE_GAP
NICLBSL,2020-07-08,2020-07-09,1,OK
NICLBSLP,2020-07-08,2021-11-25,505,SUSPICIOUS_LARGE_GAP
NICLPO,2015-10-14,2020-11-05,1849,SUSPICIOUS_LARGE_GAP
NICSF,2021-08-28,2021-09-07,10,OK
NIDC,1985-03-18,2011-08-15,9646,SUSPICIOUS_LARGE_GAP
NIDCPO,2015-04-20,,,NO_PRICE_HISTORY
NIFRA,2021-02-12,2021-02-14,2,OK
NIFRAGED,2025-07-09,2025-07-15,6,OK
NIFRAP,2021-02-12,2024-06-02,1206,SUSPICIOUS_LARGE_GAP
NIL,1998-03-30,2011-03-25,4743,SUSPICIOUS_LARGE_GAP
NILPO,2014-09-11,2014-09-14,3,OK
NIMB,2017-07-23,2023-02-23,2041,SUSPICIOUS_LARGE_GAP
NIMBPO,2011-10-14,2023-03-20,4175,SUSPICIOUS_LARGE_GAP
NKU,1994-11-25,,,NO_PRICE_HISTORY
NLG,2013-07-16,2013-07-17,1,OK
NLGPO,2015-09-02,,,NO_PRICE_HISTORY
NLIC,2003-01-22,2011-03-25,2984,SUSPICIOUS_LARGE_GAP
NLICL,1988-12-20,2011-03-25,8130,SUSPICIOUS_LARGE_GAP
NLICLP,2013-03-05,2013-03-05,0,OK
NLICP,2014-01-05,2014-01-05,0,OK
NLO,1986-12-14,2011-10-30,9086,SUSPICIOUS_LARGE_GAP
NMB,2011-03-20,2011-03-20,0,OK
NMB50,2019-12-04,2020-07-15,224,SUSPICIOUS_LARGE_GAP
NMBHF2,2025-04-20,2025-04-21,1,OK
NMBMF,2015-11-22,2015-12-23,31,OK
NMBMFP,2016-01-12,2019-10-23,1380,SUSPICIOUS_LARGE_GAP
NMBPO,2010-06-23,2011-06-05,347,SUSPICIOUS_LARGE_GAP
