symbol,listing_date,first_trade_date,delta_days,status
UAILPO,2016-01-14,2024-06-25,3085,SUSPICIOUS_LARGE_GAP
UBBL,2010-10-04,2011-03-20,167,SUSPICIOUS_LARGE_GAP
UFCL,1995-11-27,2011-03-24,5596,SUSPICIOUS_LARGE_GAP
UFCLPO,2011-11-14,2011-11-14,0,OK
UFIL,2010-11-30,2011-03-20,110,SUSPICIOUS_LARGE_GAP
UFILPO,2014-05-15,2014-05-21,6,OK
UFL,2007-07-30,2011-03-28,1337,SUSPICIOUS_LARGE_GAP
UFLK,1997-04-10,2011-06-07,5171,SUSPICIOUS_LARGE_GAP
UFLKPO,2010-03-31,,,NO_PRICE_HISTORY
UFLPO,2009-06-15,2014-05-18,1798,SUSPICIOUS_LARGE_GAP
UHEWA,2022-08-10,2022-08-11,1,OK
UIC,1994-08-01,2011-05-26,6142,SUSPICIOUS_LARGE_GAP
ULBSL,2022-05-26,2022-05-27,1,OK
ULHC,2023-09-24,2023-09-25,1,OK
ULI,2021-08-01,2021-08-02,1,OK
UMHL,2017-05-30,2017-05-30,0,OK
UMRH,2020-12-18,2020-12-20,2,OK
UNHPL,2019-06-11,2019-06-12,1,OK
UNL,1994-09-22,2011-03-28,6031,SUSPICIOUS_LARGE_GAP
UNLB,2023-02-18,2023-02-28,10,OK
UNLBP,2023-02-18,2024-10-02,592,SUSPICIOUS_LARGE_GAP
UPCL,2019-03-17,2019-03-24,7,OK
UPPER,2019-01-11,2019-01-13,2,OK
USHEC,2022-08-16,2022-08-17,1,OK
USHL,2023-08-10,2023-08-13,3,OK
USLB,2018-03-06,2020-08-30,908,SUSPICIOUS_LARGE_GAP
USLBP,2018-03-06,2023-08-30,2003,SUSPICIOUS_LARGE_GAP
VFL,2011-03-01,2011-03-20,19,OK
VLBS,2015-10-14,2015-11-10,27,OK
VLBSPO,2015-12-31,2020-12-14,1810,SUSPICIOUS_LARGE_GAP
VLUCL,2023-12-20,2023-12-21,1,OK
WDBL,2011-03-24,2011-03-24,0,OK
WDBLPO,2015-01-07,2015-01-07,0,OK
WNLB,2018-06-14,2022-01-19,1315,SUSPICIOUS_LARGE_GAP
WNLBP,2018-06-14,2025-05-08,2520,SUSPICIOUS_LARGE_GAP
YAMBALING,-,,,INVALID_LISTING_DATE
YFL,1997-01-23,2011-04-18,5198,SUSPICIOUS_LARGE_GAP
YFLPO,2008-07-20,,,NO_PRICE_HISTORY
YHL,1984-10-22,,,NO_PRICE_HISTORY
ZFL,2010-11-02,2011-03-20,138,SUSPICIOUS_LARGE_GAP
