symbol,name
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited
ADBL,Agricultural Development Bank Limited
ADBLB87,4% Agricultural Bond 2087
ADBLD83,10.35% Agricultural Bank Debenture 2083
AHL,Asian Hydropower Limited
AHPC,Arun Valley Hydropower Development Company Limited
AKJCL,Ankhukhola Hydropower Company Limited
AKPL,Arun Kabeli Power Limited
ALBSL,Asha Laghubitta Bittiya Sanstha Limited
ALICL,Asian Life Insurance Company Limited
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited
APHL,Apex Hospitality Limited
API,Api Power Company Limited
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited
BANDIPUR,Bandipur Cable Car and Tourism Limited
BARUN,Barun Hydropower Company Limited
BBC,Bishal Bazar Company Limited
BEDC,Bhugol Energy Development Company Limited
BFC,Best Finance Company Limited
BGWT,Bhagawati Hydropower Development Company Limited
BHCL,Bikash Hydropower Company Limited
BHDC,Bindhyabasini Hydropower Development Company Limited
BHL,Balephi Hydropower Limited
BHPL,Barahi Hydropower Public Limited
BJHL,Bhujung Hydropower Limited
BNHC,Buddha Bhumi Nepal Hydropower Company Limited
BNL,Bottlers Nepal Limited (Balaju)
BNT,Bottlers Nepal (Terai) Limited
BOKD86,8.5% BOK Debenture 2086
BOKD86KA,10.5% BOK Debenture 2086
BPCL,Butwal Power Company Limited
BUNGAL,Bungal Hydro Limited
C30MF,Citizens Super 30 Mutual Fund
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited
CBLD88,10.25% Civil Bank Debenture 2088
CCBD88,10.50% Century Debenture 2088
CFCL,Central Finance Limited
CGH,Chandragiri Hills Limited
CHCL,Chilime Hydro power Company Limited
CHDC,CEDB Holdings Limited
CHL,Chhyangdi Hydropower Company Limited
CIT,Citizen Investment Trust
CITY,City Hotel Limited
CIZBD86,10.25% Citizens Bank Debenture 2086
CIZBD90,10% Citizens Bank Debenture 2090
CKHL,Chirkhwa Hydro Power Limited
CLI,Citizen Life Insurance Company Limited
CMF2,2
CORBL,Corporate Development Bank Limited
CORBLP,Corporate Development Bank Limited Promoter Share
CREST,Crest Micro Life Insurance Limited
CSY,Citizens Santulit Yojana
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited
CZBIL,Citizens Bank International Limited
CZBILP,Citizens Bank International Limited Promoter Share
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited
DHEL,Daramkhola Hydro Energy Limited
DHPL,Dibyashwari Hydropower Company Limited
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited
DOLTI,Dolti Power Company Ltd
DORDI,Dordi Khola Hydropower Company Limited
EBL,Everest Bank Limited
EBLD85,10.5% Everest Bank Ltd Rinpatra 2085
EBLD86,8.5% Everest Bank Debenture
EBLD91,7.50% Everest Bank Limited Debenture 2091
ECL,Everest Colour Limited
EDBL,Excel Development Bank Limited
EHPL,Eastern Hydropower Limited
ENL,Emerging Nepal Limited
FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited
GBBD85,8.75% Garima Debenture 2085
GBBL,Garima Bikas Bank Limited
GBILD84/85,11.25% Global IME Bank Debenture 2084/85
GBILD86/87,8.5% Global IME Bank Ltd. Debenture 2086/87
GBIME,Global IME Bank Limited
GBIMEP,Global IME Bank Limited Promoter Share
GBIMESY2,II
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited
GCIL,Ghorahi Cement Industry Limited
GFCL,Goodwill Finance Company Limited
GHL,Ghalemdi Hydro Limited
GIBF1,I
GILB,Global IME Laghubitta Bittiya Sanstha Limited
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited
GLH,Greenlife Hydropower Limited
GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited
GMFIL,Guheswori Merchant Banking & Finance Limited
GMLI,Guardian Micro Life Insurance Limited
GRDBL,Green Development Bank Limited
GSY,Garima Samriddhi Yojana
GUFL,Gurkhas Finance Limited
GUFLPO,Gurkhas Finance Limited Promoter Share
GVL,Green Ventures Limited
GWFD83,12% Goodwill Finance Limited Debenture 2083
H8020,20
HATHY,Hathway Investment Nepal Limited
HBL,Himalayan Bank Limited
HBLD86,Himalayan Bank Limited Bond 2086
HDHPC,Himal Dolakha Hydropower Company Limited
HDL,Himalayan Distillery Limited
HEI,Himalayan Everest Insurance Limited
HEIP,Himalayan Everest Insurance Limited Promoter
HFIN,Hotel Forest Inn Limited
HHL,Himalayan Hydropower Limited
HIDCL,Hydroelectricity Investment and Development Company Limited
HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share
HIMSTAR,Him Star Urja Company Limited
