symbol,display_name,missing_fields,merged_date,merged_into,merged_into_name,source_title,note
CHLBS,Chautari Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (CHLBS),Chautari Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
CIVIC,Civic Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (CIVIC),Civic Development Bank Limited is marked as Merged on ShareSansar company page.
CMBF,CMB Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (CMBF),CMB Finance Limited is marked as Merged on ShareSansar company page.
CMBSL,Civil Merchant Bittiya Santha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (CMBSL),Civil Merchant Bittiya Santha Limited is marked as Merged on ShareSansar company page.
CNDBL,Country Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (CNDBL),Country Development Bank Limited is marked as Merged on ShareSansar company page.
CSDBL,Cosmos Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (CSDBL),Cosmos Development Bank Limited is marked as Merged on ShareSansar company page.
CTBNL,Commerz & Trust Bank Nepal Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (CTBNL),Commerz & Trust Bank Nepal Limited is marked as Merged on ShareSansar company page.
DBBL,Deva Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (DBBL),Deva Bikas Bank Limited is marked as Merged on ShareSansar company page.
DIYALO,Diyalo Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (DIYALO),Diyalo Bikas Bank Limited is marked as Merged on ShareSansar company page.
EFL,Everest Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (EFL),Everest Finance Limited is marked as Merged on ShareSansar company page.
EIC,Everest Insurance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (EIC),Everest Insurance Company Limited is marked as Merged on ShareSansar company page.
EKBL,Ekata Bikash Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (EKBL),Ekata Bikash Bank Limited is marked as Merged on ShareSansar company page.
FBBL,Fewa Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (FBBL),Fewa Bikas Bank Limited is marked as Merged on ShareSansar company page.
FFCL,Fewa Finance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (FFCL),Fewa Finance Company Limited is marked as Merged on ShareSansar company page.
GABL,Gaumukhee Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (GABL),Gaumukhee Bikas Bank Limited is marked as Merged on ShareSansar company page.
GBL,Global Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (GBL),Global Bank Limited is marked as Merged on ShareSansar company page.
GDBL,Gandaki Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (GDBL),Gandaki Bikas Bank Limited is marked as Merged on ShareSansar company page.
GDBNL,Gurkha Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (GDBNL),Gurkha Development Bank Limited is marked as Merged on ShareSansar company page.
GFLK,Gorkha Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (GFLK),Gorkha Finance Limited is marked as Merged on ShareSansar company page.
GGBSL,Ghodighoda Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (GGBSL),Ghodighoda Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
GIC,General Insurance Company Nepal Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (GIC),General Insurance Company Nepal Limited is marked as Merged on ShareSansar company page.
GLICL,Gurans Life Insurance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (GLICL),Gurans Life Insurance Company Limited is marked as Merged on ShareSansar company page.
GRAND,Grand Bank Nepal Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (GRAND),Grand Bank Nepal Limited is marked as Merged on ShareSansar company page.
GSDBL,Gaurishankar Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (GSDBL),Gaurishankar Development Bank Limited is marked as Merged on ShareSansar company page.
GULMI,Gulmi Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (GULMI),Gulmi Bikas Bank Limited is marked as Merged on ShareSansar company page.
HAMRO,Hamro Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (HAMRO),Hamro Bikas Bank Limited is marked as Merged on ShareSansar company page.
HATH,Hathway Finance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (HATH),Hathway Finance Company Limited is marked as Merged on ShareSansar company page.
HFL,Himalayan Finance Limited (Bittiya Sanstha),merged_date|merged_into|merged_into_name,,,,ShareSansar company page (HFL),Himalayan Finance Limited (Bittiya Sanstha) is marked as Merged on ShareSansar company page.
HGI,Himalayan General Insurance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (HGI),Himalayan General Insurance Company Limited is marked as Merged on ShareSansar company page.
IDBL,Infrastructure Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (IDBL),Infrastructure Development Bank Limited is marked as Merged on ShareSansar company page.
IFIL,Imperial Financial Instittuon Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (IFIL),Imperial Financial Instittuon Limited is marked as Merged on ShareSansar company page.
IGIL,IME General Insurance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (IGIL),IME General Insurance Limited is marked as Merged on ShareSansar company page.
ILFC,International Leasing & Finance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (ILFC),International Leasing & Finance Company Limited is marked as Merged on ShareSansar company page.
IMEFI,IME Financial Institution Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (IMEFI),IME Financial Institution Limited is marked as Merged on ShareSansar company page.
INDB,Innovative Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (INDB),Innovative Development Bank Limited is marked as Merged on ShareSansar company page.
INDBL,International Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (INDBL),International Development Bank Limited is marked as Merged on ShareSansar company page.
JALPA,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (JALPA),Jalpa Samudayik Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
JBNL,Janata Bank Nepal Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (JBNL),Janata Bank Nepal Limited is marked as Merged on ShareSansar company page.
JEFL,Jebils Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (JEFL),Jebils Finance Limited is marked as Merged on ShareSansar company page.
JHBL,Jhimruk Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (JHBL),Jhimruk Bikas Bank Limited is marked as Merged on ShareSansar company page.
JLI,Jyoti Life Insurance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (JLI),Jyoti Life Insurance Company Limited is marked as Merged on ShareSansar company page.
KADBL,Kanchan Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (KADBL),Kanchan Development Bank Limited is marked as Merged on ShareSansar company page.
KAFIL,Kaski Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (KAFIL),Kaski Finance Limited is marked as Merged on ShareSansar company page.
KBBL,Kailash Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (KBBL),Kailash Bikas Bank Limited is marked as Merged on ShareSansar company page.
KCDBL,Kalinchowk Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (KCDBL),Kalinchowk Development Bank Limited is marked as Merged on ShareSansar company page.
KDBL,Kasthamandap Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (KDBL),Kasthamandap Development Bank Limited is marked as Merged on ShareSansar company page.
KEBL,Kabeli Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (KEBL),Kabeli Bikas Bank Limited is marked as Merged on ShareSansar company page.
KFL,Kathmandu Finance Limited.,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (KFL),Kathmandu Finance Limited. is marked as Merged on ShareSansar company page.
KHDBL,Khandbari Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (KHDBL),Khandbari Development Bank Limited is marked as Merged on ShareSansar company page.
KIST,KIST Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (KIST),KIST Bank Limited is marked as Merged on ShareSansar company page.
KKBL,Kankrebihar Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (KKBL),Kankrebihar Bikas Bank Limited is marked as Merged on ShareSansar company page.
KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (KLBS),Khaptad Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
KLBSL,Kisan Laghubitta Bittiya Sanstha Limited(Former NRN Laghubitta Bittiya Sanstha Limited),merged_date|merged_into|merged_into_name,,,,ShareSansar company page (KLBSL),Kisan Laghubitta Bittiya Sanstha Limited(Former NRN Laghubitta Bittiya Sanstha Limited) is marked as Merged on ShareSansar company page.
KMBL,Kamana Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (KMBL),Kamana Bikas Bank Limited is marked as Merged on ShareSansar company page.
KMFL,Kisan Microfinance Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (KMFL),Kisan Microfinance Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
KNBL,Kankai Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (KNBL),Kankai Bikas Bank Limited is marked as Merged on ShareSansar company page.
LBFIL,Lord Buddha Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (LBFIL),Lord Buddha Finance Limited is marked as Merged on ShareSansar company page.
LBL,Laxmi Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (LBL),Laxmi Bank Limited is marked as Merged on ShareSansar company page.
LFC,Lalitpur Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (LFC),Lalitpur Finance Limited is marked as Merged on ShareSansar company page.
LFLC,Lumbini Finance and Leasing Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (LFLC),Lumbini Finance and Leasing Company Limited is marked as Merged on ShareSansar company page.
LGIL,Lumbini General Insurance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (LGIL),Lumbini General Insurance Limited is marked as Merged on ShareSansar company page.
LUBL,Lumbini Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (LUBL),Lumbini Bank Limited is marked as Merged on ShareSansar company page.
MBBL,Mahakali Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (MBBL),Mahakali Bikas Bank Limited is marked as Merged on ShareSansar company page.
MDBL,Malika Bikash Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (MDBL),Malika Bikash Bank Limited is marked as Merged on ShareSansar company page.
METRO,Metro Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (METRO),Metro Development Bank Limited is marked as Merged on ShareSansar company page.
MFL,Mahalaxmi Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (MFL),Mahalaxmi Finance Limited is marked as Merged on ShareSansar company page.
MIDBL,Mission Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (MIDBL),Mission Development Bank Limited is marked as Merged on ShareSansar company page.
MKDBL,Manakamana Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (MKDBL),Manakamana Development Bank Limited is marked as Merged on ShareSansar company page.
