symbol,display_name,missing_fields,merged_date,merged_into,merged_into_name,source_title,note
PFC,Paschimanchal Finance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (PFC),Paschimanchal Finance Company Limited is marked as Merged on ShareSansar company page.
PFCL,Peoples Finance Limited.,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (PFCL),Peoples Finance Limited. is marked as Merged on ShareSansar company page.
PFCLL,Premier Finance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (PFCLL),Premier Finance Company Limited is marked as Merged on ShareSansar company page.
PFIL,Prudential Finance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (PFIL),Prudential Finance Company Limited is marked as Merged on ShareSansar company page.
PFLBS,Patan Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (PFLBS),Patan Finance Limited is marked as Merged on ShareSansar company page.
PICL,Prudential Insurance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (PICL),Prudential Insurance Company Limited is marked as Merged on ShareSansar company page.
PLI,Prabhu Life Insurance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (PLI),Prabhu Life Insurance Limited is marked as Merged on ShareSansar company page.
PLIC,Prime Life Insurance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (PLIC),Prime Life Insurance Company Limited is marked as Merged on ShareSansar company page.
PRBBL,Prabhu Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (PRBBL),Prabhu Bikas Bank Limited is marked as Merged on ShareSansar company page.
PRBL,Professional Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (PRBL),Professional Bikas Bank Limited is marked as Merged on ShareSansar company page.
PRDBL,Professional Diyalo Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (PRDBL),Professional Diyalo Bikas Bank Limited is marked as Merged on ShareSansar company page.
PRFL,Prabhu Finance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (PRFL),Prabhu Finance Company Limited is marked as Merged on ShareSansar company page.
PSDBL,Pashupati Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (PSDBL),Pashupati Development Bank Limited is marked as Merged on ShareSansar company page.
PURBL,Purnima Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (PURBL),Purnima Bikas Bank Limited is marked as Merged on ShareSansar company page.
RARA,Rara Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (RARA),Rara Bikas Bank Limited is marked as Merged on ShareSansar company page.
RBBBL,Raptibheri Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (RBBBL),Raptibheri Bikas Bank Limited is marked as Merged on ShareSansar company page.
RBSL,Resunga Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (RBSL),Resunga Bikas Bank Limited is marked as Merged on ShareSansar company page.
RDBL,Rising Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (RDBL),Rising Development Bank Limited is marked as Merged on ShareSansar company page.
REDBL,Reliable Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (REDBL),Reliable Development Bank Limited is marked as Merged on ShareSansar company page.
RHPC,Ridi Hydropower Development Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (RHPC),Ridi Hydropower Development Company Limited is marked as Merged on ShareSansar company page.
RIBSL,Reliable Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (RIBSL),Reliable Finance Limited is marked as Merged on ShareSansar company page.
RLI,Reliance Life Insurance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (RLI),Reliance Life Insurance Limited is marked as Merged on ShareSansar company page.
RMBFI,Royal Merchant Bank & Fin Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (RMBFI),Royal Merchant Bank & Fin Limited is marked as Merged on ShareSansar company page.
RMDC,RMDC Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (RMDC),RMDC Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
RRHP,Rairang Hydropower Development Company Limited.,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (RRHP),Rairang Hydropower Development Company Limited. is marked as Merged on ShareSansar company page.
RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (RULB),Rastra Utthan Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SABSL),Sabaiko Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
SABSLP,Sabaiko Laghubitta Bittiya Sanstha Limited Promoter,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SABSLP),Sabaiko Laghubitta Bittiya Sanstha Limited Promoter is marked as Merged on ShareSansar company page.
SAFL,Sagarmatha Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SAFL),Sagarmatha Finance Limited is marked as Merged on ShareSansar company page.
SAJHA,Sajha Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SAJHA),Sajha Bikas Bank Limited is marked as Merged on ShareSansar company page.
SAMAJ,Samaj Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SAMAJ),Samaj Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
SBBLJ,Sahayogi Vikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SBBLJ),Sahayogi Vikas Bank Limited is marked as Merged on ShareSansar company page.
SBSL,Shikhar Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SBSL),Shikhar Finance Limited is marked as Merged on ShareSansar company page.
SDBL,Siddhartha Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SDBL),Siddhartha Development Bank Limited is marked as Merged on ShareSansar company page.
