fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2071/2072,11.00,0.57,11.57,2016-02-18 [Closed]
2069/2070,13.00,,13.00,2013-08-13 [Closed]
2068/2069,17.21,,17.21,2013-02-25 [Closed]
2067/2068,18.00,,18.00,2012-06-11 [Closed]
