fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2077/2078,20.00,0.00,20.00,2021-12-16 [Closed]
2076/2077,15.3457,0.8076,16.1534,2021-04-01 [Closed]
2075/2076,44.47,2.34,46.81,2019-12-07 [Closed]
2074/2075,42.75,2.25,45.00,2018-12-10 [Closed]
2073/2074,19.00,1.00,20.00,2017-12-23 [Closed]
