fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2074/2075,11.00,0.57,11.57,2018-12-26 [Closed]
2073/2074,20.00,1.05,21.05,2017-12-31 [Closed]
2072/2073,22.00,0.16,22.16,2017-06-29 [Closed]
2071/2072,13.00,,13.00,2016-02-28 [Closed]
2070/2071,15.00,,15.00,2014-12-28 [Closed]
