fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2071/2072,16.00,1.00,17.00,2015-11-10 [Closed]
2070/2071,16.00,0.84,16.84,2014-10-31 [Closed]
2069/2070,16.00,0.84,16.84,2013-12-05 [Closed]
2068/2069,6.00,10.00,16.00,2012-11-12 [Closed]
