fiscal_year,eps
062-063,62.78
063-064,78.42
064-065,91.82
065-066,99.99
066-067,100.16
067-068,83.18
068-069,88.55
069-070,91.88
070-071,86.04
071-072,78.04
072-073,40.33
073-074,32.48
074-075,32.78
075-076,38.05
076-077,29.71
077-078,19.91
078-079,26.30
079-080,31.43
080-081,31.47
081-082,37.39
082-083,32.35
