fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2072/2073,21.75,1.14,22.89,2016-06-26 [Closed]
2071/2072,27.00,1.42,28.42,2016-03-10 [Closed]
2070/2071,17.85,0.95,18.8,2014-12-10 [Closed]
2069/2070,5.00,7.00,12.00,2013-12-27 [Closed]
