fiscal_year,eps
060-061,-8.89
061-062,20.08
062-063,13.05
063-064,15.88
064-065,17.29
065-066,22.89
066-067,21.99
067-068,19.82
068-069,20.41
069-070,29.80
070-071,38.63
071-072,37.77
072-073,41.53
073-074,18.82
074-075,26.45
075-076,26.00
076-077,21.90
077-078,26.04
078-079,23.17
079-080,22.48
080-081,21.86
081-082,22.76
082-083,23.06
