fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2071/2072,29.14,1.54,30.68,2016-03-15 [Closed]
2070/2071,5.00,,5.00,2015-03-29 [Closed]
2069/2070,10.00,5.79,15.79,2013-12-31 [Closed]
2068/2069,5.00,0.26,5.26,2013-05-03 [Closed]
2067/2068,0.00,15.00,15.00,2012-04-17 [Closed]
