fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2069/2070,0.00,6.25,6.25,2014-01-06 [Closed]
2068/2069,11.4,,11.4,
2067/2068,15.00,0.79,15.79,2012-01-04 [Closed]
