fiscal_year,eps
066-067,26.57
067-068,18.29
068-069,35.52
069-070,40.01
070-071,41.32
071-072,35.99
072-073,43.10
073-074,32.09
074-075,20.45
075-076,27.94
076-077,16.56
077-078,24.03
078-079,23.72
079-080,19.44
080-081,16.69
081-082,19.16
082-083,15.71
