fiscal_year,eps
069-070,-0.26
070-071,-0.74
071-072,-0.93
072-073,8.08
073-074,7.15
074-075,5.10
075-076,5.96
076-077,9.13
077-078,5.26
078-079,3.06
079-080,1.07
080-081,8.02
081-082,6.69
082-083,13.76
