fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2078/2079,5.00,0.26,5.26,2023-01-03 [Closed]
2077/2078,5.00,0.26,5.26,2022-01-04 [Closed]
2076/2077,8.00,0.42,8.42,2021-02-05 [Closed]
2075/2076,0.00,6.57,6.57,2019-12-09 [Closed]
2074/2075,0.00,4.05,4.05,2019-04-23 [Closed]
2073/2074,10.25,0.54,10.79,2019-04-23 [Closed]
2072/2073,2.88,0.15,3.03,2017-05-04 [Closed]
2071/2072,6.75,0.35,7.1,2015-12-06 [Closed]
2070/2071,7.00,1.5,8.5,2015-01-06 [Closed]
2069/2070,0.00,5.75,5.75,2013-10-08 [Closed]
