fiscal_year,eps
061-062,0.11
062-063,3.92
063-064,5.86
064-065,5.60
065-066,7.53
066-067,10.63
067-068,7.70
068-069,6.04
069-070,15.13
070-071,19.28
071-072,24.47
072-073,32.55
073-074,26.31
074-075,21.22
075-076,28.22
076-077,20.18
077-078,23.94
078-079,18.48
079-080,20.91
080-081,17.65
081-082,18.94
082-083,26.14
