fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2070/2071,10.00,0.526,10.526,2014-12-28 [Closed]
2069/2070,5.00,5.5,10.5,2013-12-23 [Closed]
2068/2069,0.00,10.00,10.00,2012-12-26 [Closed]
2067/2068,0.00,5.6,5.6,2011-12-29 [Closed]
