fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2072/2073,18.5,0.97,19.47,2016-01-08 [Closed]
2071/2072,25.00,,25.00,2015-12-29 [Closed]
2070/2071,45.00,2.37,47.37,2014-12-26 [Closed]
2069/2070,27.00,,27.00,
2068/2069,12.00,,12.00,2012-12-13 [Closed]
2067/2068,5.00,10.00,15.00,2011-12-29 [Closed]
