fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2072/2073,19.00,1.00,20.00,2016-10-03 [Closed]
2071/2072,15.00,0.79,15.79,2016-03-11 [Closed]
2070/2071,10.00,,10.00,2014-12-14 [Closed]
2069/2070,15.00,,15.00,2014-02-06 [Closed]
