fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2074/2075,12.00,0.63,12.63,2018-12-10 [Closed]
2073/2074,10.00,5.00,15.00,2017-12-06 [Closed]
2072/2073,25.00,1.31,26.31,2016-10-05 [Closed]
2071/2072,18.00,0.94,18.94,2015-09-21 [Closed]
2070/2071,15.00,0.79,15.79,2014-10-31 [Closed]
2069/2070,12.00,0.63,12.63,2013-11-22 [Closed]
2068/2069,15.00,0.78,15.78,2012-12-10 [Closed]
