fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2074/2075,35.00,0.00,35.00,2018-12-28 [Closed]
2072/2073,20.00,,20.00,2017-04-26 [Closed]
2071/2072,20.00,,20.00,2016-05-27 [Closed]
2070/2071,20.00,,20.00,2014-12-26 [Closed]
2069/2070,20.00,,20.00,2013-12-20 [Closed]
2068/2069,10.00,,10.00,
