fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2072/2073,35.00,1.84,36.84,2017-01-03 [Closed]
2071/2072,21.61,1.14,22.75,2016-03-14 [Closed]
2069/2070,15.00,0.78,15.78,2014-04-18 [Closed]
2068/2069,10.00,16.32,26.32,2012-12-12 [Closed]
