fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2072/2073,16.00,,16.00,2016-08-02 [Closed]
2071/2072,7.00,0.036,7.036,2015-11-24 [Closed]
2070/2071,11.5,,11.5,2014-10-26 [Closed]
2069/2070,0.00,12.00,12.00,2013-09-08 [Closed]
2068/2069,0.00,8.95,8.95,2012-09-26 [Closed]
2067/2068,0.00,13.685,13.685,2012-02-11 [Closed]
