fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2080/2081,,9.5,9.5,2024-09-13 [Closed]
2079/2080,,10.5,10.5,2023-11-08 [Closed]
2078/2079,0.00,13.00,13.00,2022-11-01 [Closed]
2077/2078,0.00,30.00,30.00,2021-09-12 [Closed]
2076/2077,0.00,12.00,12.00,2020-09-10 [Closed]
2075/2076,0.00,10.00,10.00,2019-08-30 [Closed]
