fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2071/2072,26.00,1.36,27.36,2016-01-18 [Closed]
2070/2071,10.42,0.55,10.97,2015-02-04 [Closed]
2069/2070,14.00,0.73,14.73,2013-10-04 [Closed]
2068/2069,5.00,21.32,26.32,2012-09-24 [Closed]
2067/2068,18.00,16.75,34.75,2011-09-13 [Closed]
