fiscal_year,eps
070-071,19.57
071-072,15.58
072-073,19.33
073-074,25.51
074-075,23.64
075-076,23.47
076-077,17.99
077-078,19.25
078-079,20.84
079-080,22.06
080-081,16.99
081-082,13.32
082-083,15.4
