fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2082/2083,,10.00,10.00,2026-08-31
2081/2082,,17.00,17.00,2025-08-22 [Closed]
2080/2081,,7.00,7.00,2024-09-08 [Closed]
