date,sn,contract_no,stock_symbol,buyer,seller,quantity,rate,amount
2026-05-18,1,2026051805011096,AHL,56,32,19,509.90,"9,688.10"
2026-05-18,2,2026051805011095,AHL,56,47,36,509.80,"18,352.80"
2026-05-18,3,2026051805011094,AHL,56,6,10,509.00,"5,090.00"
2026-05-18,4,2026051805011093,AHL,56,58,10,508.00,"5,080.00"
2026-05-18,5,2026051805011092,AHL,56,57,25,507.00,"12,675.00"
2026-05-18,6,2026051805010670,AHL,89,25,28,500.00,"14,000.00"
2026-05-18,7,2026051805010692,BEDC,28,26,50,364.20,"18,210.00"
2026-05-18,8,2026051805010691,BEDC,28,57,100,363.90,"36,390.00"
2026-05-18,9,2026051805011124,BGWT,35,7,10,669.00,"6,690.00"
2026-05-18,10,2026051805011088,BGWT,41,47,94,632.00,"59,408.00"
2026-05-18,11,2026051805011087,BGWT,49,47,20,632.00,"12,640.00"
2026-05-18,12,2026051805011062,BGWT,51,47,100,652.10,"65,210.00"
2026-05-18,13,2026051805011061,BGWT,58,47,67,653.00,"43,751.00"
2026-05-18,14,2026051805011068,BGWT,52,47,784,651.00,"510,384.00"
2026-05-18,15,2026051805011067,BGWT,32,47,50,652.00,"32,600.00"
2026-05-18,16,2026051805011066,BGWT,42,47,100,652.00,"65,200.00"
2026-05-18,17,2026051805011065,BGWT,42,47,100,652.00,"65,200.00"
2026-05-18,18,2026051805011064,BGWT,22,47,50,652.00,"32,600.00"
2026-05-18,19,2026051805011063,BGWT,51,47,100,652.10,"65,210.00"
2026-05-18,20,2026051805011074,BGWT,32,47,100,650.00,"65,000.00"
2026-05-18,21,2026051805011073,BGWT,94,47,10,650.00,"6,500.00"
2026-05-18,22,2026051805011072,BGWT,21,47,100,651.00,"65,100.00"
2026-05-18,23,2026051805011071,BGWT,58,47,20,651.00,"13,020.00"
2026-05-18,24,2026051805011070,BGWT,5,47,"1,000",651.00,"651,000.00"
2026-05-18,25,2026051805011069,BGWT,32,47,50,651.00,"32,550.00"
2026-05-18,26,2026051805011080,BGWT,8,47,430,641.20,"275,716.00"
2026-05-18,27,2026051805011079,BGWT,42,47,10,642.00,"6,420.00"
2026-05-18,28,2026051805011078,BGWT,56,47,30,644.00,"19,320.00"
2026-05-18,29,2026051805011077,BGWT,19,47,10,644.00,"6,440.00"
2026-05-18,30,2026051805011076,BGWT,38,47,25,647.00,"16,175.00"
2026-05-18,31,2026051805011075,BGWT,82,47,100,648.00,"64,800.00"
2026-05-18,32,2026051805011086,BGWT,57,47,10,632.20,"6,322.00"
