fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2071/2072,15.00,0.79,15.79,2016-06-07 [Closed]
2070/2071,12.00,6.94,18.94,2015-01-12 [Closed]
2069/2070,15.00,0.79,15.79,2014-03-25 [Closed]
2068/2069,20.00,6.32,26.32,2013-02-04 [Closed]
2067/2068,10.56,,10.56,2012-04-15 [Closed]
