fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2071/2072,13.00,,13.00,2015-11-09 [Closed]
2070/2071,34.00,1.79,35.79,
2069/2070,9.5,0.5,10.00,2013-10-27 [Closed]
2068/2069,14.00,0.74,14.74,
2067/2068,10.00,0.53,10.53,2011-12-29 [Closed]
