fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2072/2073,20.25,,20.25,2016-10-18 [Closed]
2071/2072,13.00,,13.00,2015-12-23 [Closed]
2070/2071,7.00,0.37,7.37,2014-12-01 [Closed]
2069/2070,3.7,,3.7,2013-12-31 [Closed]
2067/2068,6.3,0.33,6.63,2012-01-02 [Closed]
