fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2075/2076,0.00,18.7215,18.7215,2020-03-11 [Closed]
2074/2075,0.00,17.00,17.00,2019-02-25 [Closed]
2073/2074,20.00,4.5,24.5,2017-12-14 [Closed]
2072/2073,22.00,1.16,23.16,2016-11-04 [Closed]
2071/2072,28.00,1.47,29.47,2015-12-24 [Closed]
2070/2071,26.00,10.00,36.00,2014-12-24 [Closed]
2069/2070,26.00,8.5,34.5,2013-12-03 [Closed]
2068/2069,26.00,,26.00,2013-04-11 [Closed]
2067/2068,20.00,2.88,22.88,2011-12-09 [Closed]
