date,rate,metric,source
2019-06-15,10.09,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2019-07-15,9.95,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2019-08-15,9.89,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2019-09-15,9.87,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2019-10-15,9.78,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2019-11-15,9.82,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2019-12-15,9.72,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2020-01-15,9.71,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2020-02-15,9.69,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2020-03-15,9.74,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2020-04-15,9.73,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2020-05-15,9.45,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2020-06-15,9.26,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2020-07-15,9.02,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2020-08-15,8.79,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2020-09-15,8.68,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2020-10-15,8.46,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2020-11-15,8.37,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
