fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2074/2075,1.24,0.00,1.24,2019-04-18 [Closed]
2073/2074,10.00,,10.00,
2072/2073,12.5,0.65,13.15,2016-12-27 [Closed]
2071/2072,16.75,0.88,17.63,2015-12-29 [Closed]
2070/2071,10.00,4.74,14.74,2014-12-17 [Closed]
