fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2074/2075,0.00,12.00,12.00,2018-08-20 [Closed]
2073/2074,0.00,25.00,25.00,2017-08-28 [Closed]
2072/2073,0.00,16.00,16.00,2016-09-09 [Closed]
