fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2078/2079,4.00,3.79,7.79,2022-12-09 [Closed]
2077/2078,10.00,2.07,12.07,2021-11-30 [Closed]
2076/2077,10.00,3.05,13.05,2021-01-01 [Closed]
2075/2076,0.00,11.75,11.75,2019-10-31 [Closed]
2074/2075,1.00,6.85,7.85,2018-12-31 [Closed]
2073/2074,10.7539,,10.7539,2018-06-28 [Closed]
2072/2073,13.25,0.7,13.95,2017-02-28 [Closed]
2071/2072,10.00,0.53,10.53,2015-12-29 [Closed]
2070/2071,12.00,0.63,12.63,2014-12-31 [Closed]
2069/2070,0.00,9.00,9.00,2013-12-30 [Closed]
